timestamp,junction_id,arm_id,camera_id,VPM,queue_depth,stopped_ratio,occupancy_pct,mean_bbox_area,max_bbox_area,approach_flow,time_sin,time_cos,is_peak_hour,hour_of_week,mean_speed_proxy,mean_bbox_growth_rate,label
2026-04-07T11:15:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,29,0,0.0004,3.37,37038.3,344249.1,0.8,0.19509,-0.980785,0,35,8.05,0,NORMAL
2026-04-07T11:16:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,25,0,0.0045,2.61,29979.7,226389.9,0.76,0.190809,-0.981627,0,35,7.16,0,NORMAL
2026-04-07T11:17:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,30,0,0.0288,3.52,30348.9,334312.8,1,0.186524,-0.98245,0,35,6.81,0,NORMAL
2026-04-07T11:18:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,20,0,0.0433,4.81,31597.1,337320,1.16,0.182236,-0.983255,0,35,5.28,0,NORMAL
2026-04-07T11:19:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,14,0,0.0046,3.9,36241.1,316570.3,0.89,0.177944,-0.984041,0,35,6.4,0,NORMAL
2026-04-07T11:20:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,28,0,0,2.21,24539.2,247506.3,0.74,0.173648,-0.984808,0,35,7.53,0,OFF_PEAK_JAM
2026-04-07T11:21:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,31,0,0.0054,2.89,25923.4,307052.7,0.98,0.16935,-0.985556,0,35,7.01,0,NORMAL
2026-04-07T11:22:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,28,0,0.0145,4.81,47967.6,317537.6,0.98,0.165048,-0.986286,0,35,6.55,0,OFF_PEAK_JAM
2026-04-07T11:23:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,28,0,0,3.59,28506.8,309949.5,1.1,0.160743,-0.986996,0,35,6.96,0,NORMAL
2026-04-07T11:24:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,36,0,0.0053,2.6,21335.6,336162.8,0.97,0.156434,-0.987688,0,35,6.99,0,NORMAL
2026-04-07T11:25:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,17,0,0.0004,3.75,42594.5,329492.6,0.79,0.152123,-0.988362,0,35,7.33,0,NORMAL
2026-04-07T11:26:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,29,0,0.0003,2.87,25609.5,250688.5,1.07,0.147809,-0.989016,0,35,7.22,0,NORMAL
2026-04-07T11:27:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,32,0,0.0002,2.18,21794.7,293311.6,0.84,0.143493,-0.989651,0,35,8.52,0,NORMAL
2026-04-07T11:28:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,34,0,0.0009,4.2,35559.6,332085.9,1.16,0.139173,-0.990268,0,35,7.05,0,NORMAL
2026-04-07T11:29:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,29,0,0,3.05,34914.7,346181.9,0.78,0.134851,-0.990866,0,35,8.62,0,NORMAL
2026-04-07T11:30:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,34,0,0.0039,2.63,24786.1,219213.8,0.89,0.130526,-0.991445,0,35,7.7,0,NORMAL
2026-04-07T11:31:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,20,0,0.0238,5.72,42859.4,309953.1,1.2,0.126199,-0.992005,0,35,5.54,0,NORMAL
2026-04-07T11:32:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,25,0,0.002,3.75,33084.5,342492.9,1.09,0.121869,-0.992546,0,35,6.66,0,NORMAL
2026-04-07T11:33:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,24,0,0.0008,3.71,31344.2,354988.8,1.08,0.117537,-0.993068,0,35,7,0,NORMAL
2026-04-07T11:34:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,16,0,0.0159,4.37,38510.2,322413.4,0.93,0.113203,-0.993572,0,35,5.97,762.797,NORMAL
2026-04-07T11:35:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,23,0,0.0028,3.02,32191.3,336847,0.89,0.108867,-0.994056,0,35,6.97,607.9023,NORMAL
2026-04-07T11:36:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,25,0,0.0123,4.78,40805.4,362555.4,1.07,0.104528,-0.994522,0,35,5.97,0,NORMAL
2026-04-07T11:37:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,26,0,0.0082,4.91,36828.9,357207.6,1.25,0.100188,-0.994969,0,35,5.95,0,NORMAL
2026-04-07T11:38:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,31,0,0.0002,3.15,26227.1,331851.9,0.99,0.095846,-0.995396,0,35,6.68,0,NORMAL
2026-04-07T11:39:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,34,0,0.0002,2.9,27776.5,293311.6,0.91,0.091502,-0.995805,0,35,8.27,0,NORMAL
2026-04-07T11:40:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,34,0,0.0009,3.93,33500.5,326084.1,1.14,0.087156,-0.996195,0,35,6.96,0,NORMAL
2026-04-07T11:41:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,29,0,0,3.07,34198.8,346181.9,0.77,0.082808,-0.996566,0,35,8.83,0,NORMAL
2026-04-07T11:42:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,33,0,0.004,2.66,26541.5,254183.3,0.88,0.078459,-0.996917,0,35,7.64,0,NORMAL
2026-04-07T11:43:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,22,0,0.0234,5.32,40271.4,309953.1,1.19,0.074108,-0.99725,0,35,5.71,0,NORMAL
2026-04-07T11:44:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,23,0,0.0029,4.21,36364.7,342492.9,1.12,0.069756,-0.997564,0,35,6.55,0,NORMAL
2026-04-07T11:45:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,25,0,0.0005,3.75,31754.5,354988.8,1.09,0.065403,-0.997859,0,35,7.01,0,NORMAL
2026-04-07T11:46:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,15,1,0.0162,4.43,38659.8,322413.4,0.93,0.061049,-0.998135,0,35,5.86,762.797,NORMAL
2026-04-07T11:47:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,23,0,0.0029,2.7,30590.4,336847,0.84,0.056693,-0.998392,0,35,7.1,607.9023,OFF_PEAK_JAM
2026-04-07T11:48:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,25,0,0.0121,4.75,38457.2,362555.4,1.09,0.052336,-0.99863,0,35,5.89,0,NORMAL
2026-04-07T11:49:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,24,0,0.0086,5.04,40373.6,357207.6,1.19,0.047978,-0.998848,0,35,5.98,0,NORMAL
2026-04-07T11:50:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,33,0,0.0002,3.29,26236.5,331851.9,1.05,0.043619,-0.999048,0,35,6.65,0,NORMAL
2026-04-07T11:51:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,27,0,0.0002,4.29,37135.9,354988.8,1.1,0.03926,-0.999229,0,35,7.01,0,NORMAL
2026-04-07T11:52:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,14,1,0.016,4.46,38568.5,322413.4,0.95,0.034899,-0.999391,0,35,5.71,762.797,OFF_PEAK_JAM
2026-04-07T11:53:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,22,0,0.003,2.56,30080.7,336847,0.81,0.030539,-0.999534,0,35,7.14,607.9023,OFF_PEAK_JAM
2026-04-07T11:54:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,27,0,0.0117,4.91,38218.5,362555.4,1.13,0.026177,-0.999657,0,35,5.93,0,NORMAL
2026-04-07T11:55:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,23,0,0.0087,5.03,41175.6,357207.6,1.18,0.021815,-0.999762,0,35,6.01,0,NORMAL
2026-04-07T11:56:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,33,0,0.0002,3.24,25653.8,331851.9,1.04,0.017452,-0.999848,0,35,6.61,0,OFF_PEAK_JAM
2026-04-07T11:57:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,27,0,0.0076,4.77,39109.5,362555.4,1.1,0.01309,-0.999914,0,35,6.21,0,NORMAL
2026-04-07T11:58:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,23,0,0.0087,5.03,41169.3,357207.6,1.18,0.008727,-0.999962,0,35,6,0,NORMAL
2026-04-07T11:59:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,32,0,0.0002,3.26,25926,331851.9,1.03,0.004363,-0.99999,0,35,6.6,0,OFF_PEAK_JAM
2026-04-07T12:00:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,29,0,0.0081,4.75,36900.2,300517.2,1.14,0,-1,0,36,5.98,0,NORMAL
2026-04-07T12:01:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,33,0,0.0004,3.69,34718.5,331851.9,0.89,-0.004363,-0.99999,0,36,6.7,0,NORMAL
2026-04-07T12:02:00+00:00,JCT02,ARM_EAST,JCT02_ARM_EAST,34,0,0,3.49,34509.7,282313.5,0.92,-0.008727,-0.999962,0,36,7.3,0,NORMAL
