timestamp,camera_id,junction_id,arm_id,label,hour_of_week,VPM,queue_depth,stopped_ratio,occupancy_pct,mean_bbox_area,max_bbox_area,approach_flow,time_sin,time_cos,is_peak_hour,mean_bbox_growth_rate
2026-03-13T10:54:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,50,0,0.0919,5.95,26803.8,524563.2,1.93,0.284015,-0.95882,0,132.5934
2026-03-13T10:55:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,53,0,0.113,12.54,64835.3,1062409.3,2.02,0.279829,-0.96005,0,254.4105
2026-03-13T10:56:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,43,1,0.0676,5.0,35833.2,967721.7,1.42,0.275637,-0.961262,0,205.488
2026-03-13T10:57:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,43,0,0.0504,4.59,30412.6,495282.3,1.39,0.27144,-0.962455,0,111.7689
2026-03-13T10:58:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,38,0,0.1438,8.19,45836.7,936459.5,1.63,0.267238,-0.96363,0,344.835
2026-03-13T10:59:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,106,50,0,0.1295,14.27,81886.4,1307615.0,1.94,0.263031,-0.964787,0,285.7313
2026-03-13T11:00:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,35,1,0.1349,7.73,43581.8,785623.3,1.63,0.258819,-0.965926,0,158.6645
2026-03-13T11:01:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,42,0,0.1183,12.89,68244.6,1027882.4,1.93,0.254602,-0.967046,0,307.2746
2026-03-13T11:02:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,36,0,0.0842,5.08,37480.1,855085.1,1.48,0.25038,-0.968148,0,156.9404
2026-03-13T11:03:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,35,0,0.1013,6.05,49428.8,868846.0,1.23,0.246153,-0.969231,0,327.4832
2026-03-13T11:04:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,46,0,0.1131,8.6,41374.3,896999.7,1.8,0.241922,-0.970296,0,129.88
2026-03-13T11:05:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,33,0,0.1555,5.92,39255.4,984887.2,1.34,0.237686,-0.971342,0,361.0992
2026-03-13T11:06:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,39,0,0.0832,10.33,54862.2,1045908.2,1.79,0.233445,-0.97237,0,346.0512
2026-03-13T11:07:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,39,0,0.1111,7.32,47170.8,1149378.2,1.57,0.2292,-0.973379,0,312.5835
2026-03-13T11:08:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,55,0,0.1047,11.05,56460.5,1015587.5,2.07,0.224951,-0.97437,0,232.4508
2026-03-13T11:09:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,44,1,0.0532,4.98,34970.9,967721.7,1.41,0.220697,-0.975342,0,200.6799
2026-03-13T11:10:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,36,0,0.0662,4.48,33219.0,495282.3,1.26,0.21644,-0.976296,0,115.9277
2026-03-13T11:11:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,37,0,0.1505,8.99,50992.3,978401.0,1.61,0.212178,-0.977231,0,368.8474
2026-03-13T11:12:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,52,0,0.1269,13.73,75276.1,1307615.0,2.01,0.207912,-0.978148,0,264.3289
2026-03-13T11:13:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,36,1,0.1603,8.16,43414.1,785623.3,1.74,0.203642,-0.979045,0,169.5177
2026-03-13T11:14:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,40,0,0.0801,12.03,68369.5,1027882.4,1.75,0.199368,-0.979925,0,313.6617
2026-03-13T11:15:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,42,0,0.087,5.5,38625.1,855085.1,1.58,0.19509,-0.980785,0,157.736
2026-03-13T11:16:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,33,0,0.0899,6.72,50759.6,896999.7,1.23,0.190809,-0.981627,0,329.7368
2026-03-13T11:17:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,43,0,0.1278,7.49,38728.9,791432.1,1.72,0.186524,-0.98245,0,128.5177
2026-03-13T11:18:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,29,0,0.1578,6.52,44076.4,984887.2,1.34,0.182236,-0.983255,0,371.0587
2026-03-13T11:19:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,42,0,0.07,9.98,51882.7,1045908.2,1.79,0.177944,-0.984041,0,344.1677
2026-03-13T11:20:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,39,0,0.1062,7.83,48126.0,1149378.2,1.59,0.173648,-0.984808,0,271.5255
